"party","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"AfD","1985","higher education","Urban Area","","","","","7"
"AfD","1985","higher education","Rural Area","","","","","7"
"AfD","1985","general elemantary","Urban Area","","","","","7"
"AfD","1985","higher vocational","Rural Area","","","","","7"
"AfD","1985","inadequately","Urban Area","","","","","7"
"AfD","1985","inadequately","Rural Area","","","","","7"
"AfD","1985","general elemantary","Rural Area","","","","","7"
"AfD","1985","middle vocational","Urban Area","","","","","7"
"AfD","1985","in school","Urban Area","","","","","7"
"AfD","1985","in school","Rural Area","","","","","7"
"AfD","1985","middle vocational","Rural Area","","","","","7"
"AfD","1985","vocational + Abi","Urban Area","","","","","7"
"AfD","1985","vocational + Abi","Rural Area","","","","","7"
"AfD","1985","higher vocational","Urban Area","","","","","7"
"CDU/CSU","1985","inadequately","Urban Area","20","","","","1"
"CDU/CSU","1985","inadequately","Rural Area","5","","","","1"
"CDU/CSU","1985","higher vocational","Urban Area","175","0.561991264324499","0.507967884088353","0.616014644560646","1"
"CDU/CSU","1985","general elemantary","Urban Area","383","0.42223174275823","0.392356893656001","0.452106591860459","1"
"CDU/CSU","1985","in school","Rural Area","8","","","","1"
"CDU/CSU","1985","vocational + Abi","Rural Area","9","","","","1"
"CDU/CSU","1985","in school","Urban Area","22","","","","1"
"CDU/CSU","1985","general elemantary","Rural Area","183","0.548546514889311","0.496337125661853","0.600755904116768","1"
"CDU/CSU","1985","middle vocational","Urban Area","896","0.409944431682552","0.39008488182662","0.429803981538485","1"
"CDU/CSU","1985","middle vocational","Rural Area","309","0.522657477750211","0.483149249751214","0.562165705749208","1"
"CDU/CSU","1985","vocational + Abi","Urban Area","42","0.328032112237047","0.252898390622116","0.403165833851978","1"
"CDU/CSU","1985","higher vocational","Rural Area","50","0.601778654699822","0.498913301444924","0.704644007954719","1"
"CDU/CSU","1985","higher education","Urban Area","160","0.3783854102806","0.333274208522665","0.423496612038535","1"
"CDU/CSU","1985","higher education","Rural Area","51","0.653168390373982","0.550772869357023","0.75556391139094","1"
"FDP","1985","vocational + Abi","Urban Area","9","","","","3"
"FDP","1985","higher vocational","Urban Area","15","","","","3"
"FDP","1985","in school","Rural Area","1","","","","3"
