"party","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","35-65 y.","indirect migration background","","","","","7"
"AfD","1984","16-34 y.","no migration background","","","","","7"
"AfD","1984","16-34 y.","direct migration background","","","","","7"
"AfD","1984","16-34 y.","indirect migration background","","","","","7"
"AfD","1984","66 and older","direct migration background","","","","","7"
"AfD","1984","35-65 y.","no migration background","","","","","7"
"AfD","1984","66 and older","indirect migration background","","","","","7"
"AfD","1984","35-65 y.","direct migration background","","","","","7"
"AfD","1984","66 and older","no migration background","","","","","7"
"CDU/CSU","1984","35-65 y.","no migration background","1383","0.485286932607837","0.467014910805473","0.503558954410202","2"
"CDU/CSU","1984","66 and older","no migration background","405","0.524204857624776","0.488745478440294","0.559664236809258","2"
"CDU/CSU","1984","66 and older","direct migration background","11","","","","2"
"CDU/CSU","1984","16-34 y.","direct migration background","59","0.275177092351644","0.233062915982501","0.317291268720786","2"
"CDU/CSU","1984","16-34 y.","indirect migration background","2","","","","2"
"CDU/CSU","1984","35-65 y.","indirect migration background","6","","","","2"
"CDU/CSU","1984","16-34 y.","no migration background","596","0.36741131124247","0.344007248101294","0.390815374383647","2"
"CDU/CSU","1984","35-65 y.","direct migration background","146","0.359389497212228","0.323111510918671","0.395667483505785","2"
"CDU/CSU","1984","66 and older","indirect migration background","2","","","","2"
"FDP","1984","35-65 y.","no migration background","102","0.0351348412036386","0.0284034160879595","0.0418662663193176","3"
"FDP","1984","16-34 y.","no migration background","33","0.0203196931369562","0.0134702533777548","0.0271691328961576","3"
"FDP","1984","16-34 y.","direct migration background","4","","","","3"
"FDP","1984","35-65 y.","direct migration background","10","","","","3"
"FDP","1984","66 and older","indirect migration background","","","","","3"
"FDP","1984","66 and older","direct migration background","","","","","3"
"FDP","1984","16-34 y.","indirect migration background","1","","","","3"
"FDP","1984","35-65 y.","indirect migration background","","","","","3"
"FDP","1984","66 and older","no migration background","31","0.0421541886001539","0.0278869877658302","0.0564213894344777","3"
"Grüne","1984","16-34 y.","no migration background","263","0.159433539325985","0.141661790724409","0.177205287927562","4"
"Grüne","1984","66 and older","indirect migration background","","","","","4"
"Grüne","1984","16-34 y.","direct migration background","59","0.146539819636411","0.113191367920097","0.179888271352725","4"
"Grüne","1984","16-34 y.","indirect migration background","10","","","","4"
"Grüne","1984","35-65 y.","no migration background","62","0.0200474629902935","0.0149231347582834","0.0251717912223035","4"
"Grüne","1984","35-65 y.","direct migration background","30","0.0414950743804827","0.0264165479116365","0.056573600849329","4"
"Grüne","1984","35-65 y.","indirect migration background","","","","","4"
"Grüne","1984","66 and older","no migration background","7","","","","4"
"Grüne","1984","66 and older","direct migration background","","","","","4"
"NPD","1984","16-34 y.","no migration background","","","","","6"
