"party","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","direct migration background","general elemantary","","","","","7"
"AfD","1984","no migration background","general elemantary","","","","","7"
"AfD","1984","no migration background","in school","","","","","7"
"AfD","1984","no migration background","inadequately","","","","","7"
"AfD","1984","no migration background","middle vocational","","","","","7"
"AfD","1984","no migration background","vocational + Abi","","","","","7"
"AfD","1984","no migration background","higher vocational","","","","","7"
"AfD","1984","no migration background","higher education","","","","","7"
"AfD","1984","direct migration background","middle vocational","","","","","7"
"AfD","1984","direct migration background","vocational + Abi","","","","","7"
"AfD","1984","direct migration background","higher vocational","","","","","7"
"AfD","1984","direct migration background","in school","","","","","7"
"AfD","1984","direct migration background","inadequately","","","","","7"
"AfD","1984","direct migration background","higher education","","","","","7"
"AfD","1984","indirect migration background","in school","","","","","7"
"AfD","1984","indirect migration background","inadequately","","","","","7"
"AfD","1984","indirect migration background","general elemantary","","","","","7"
"AfD","1984","indirect migration background","middle vocational","","","","","7"
"AfD","1984","indirect migration background","vocational + Abi","","","","","7"
"AfD","1984","indirect migration background","higher vocational","","","","","7"
"AfD","1984","indirect migration background","higher education","","","","","7"
"CDU/CSU","1984","no migration background","general elemantary","610","0.457888735657337","0.431242597196768","0.484534874117906","1"
"CDU/CSU","1984","no migration background","inadequately","9","","","","1"
"CDU/CSU","1984","no migration background","middle vocational","1275","0.452145764755898","0.433902071623017","0.470389457888778","1"
"CDU/CSU","1984","no migration background","vocational + Abi","42","0.339930523966443","0.256557192564736","0.42330385536815","1"
"CDU/CSU","1984","no migration background","higher vocational","222","0.568450681931995","0.519668400059287","0.617232963804703","1"
"CDU/CSU","1984","direct migration background","inadequately","22","","","","1"
"CDU/CSU","1984","no migration background","in school","22","","","","1"
"CDU/CSU","1984","no migration background","higher education","202","0.48364798652059","0.437007139828272","0.530288833212907","1"
"CDU/CSU","1984","direct migration background","in school","","","","","1"
"CDU/CSU","1984","indirect migration background","inadequately","","","","","1"
"CDU/CSU","1984","indirect migration background","middle vocational","5","","","","1"
"CDU/CSU","1984","indirect migration background","higher vocational","1","","","","1"
"CDU/CSU","1984","direct migration background","general elemantary","62","0.322434124661708","0.271617867688266","0.37325038163515","1"
