"party","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"AfD","1985","16-34 y.","Urban Area","","","","","7"
"AfD","1985","16-34 y.","Rural Area","","","","","7"
"AfD","1985","35-65 y.","Urban Area","","","","","7"
"AfD","1985","35-65 y.","Rural Area","","","","","7"
"AfD","1985","66 and older","Urban Area","","","","","7"
"AfD","1985","66 and older","Rural Area","","","","","7"
"CDU/CSU","1985","35-65 y.","Rural Area","364","0.556051390544853","0.518844222062703","0.593258559027002","2"
"CDU/CSU","1985","16-34 y.","Urban Area","419","0.317255510657386","0.293703057405722","0.34080796390905","2"
"CDU/CSU","1985","35-65 y.","Urban Area","1022","0.439094076696755","0.419835833615497","0.458352319778013","2"
"CDU/CSU","1985","16-34 y.","Rural Area","153","0.46422621751166","0.412492993561038","0.515959441462282","2"
"CDU/CSU","1985","66 and older","Rural Area","101","0.581445334487334","0.50706891329048","0.655821755684187","2"
"CDU/CSU","1985","66 and older","Urban Area","266","0.509777765342455","0.466518777303567","0.553036753381343","2"
"FDP","1985","16-34 y.","Urban Area","38","0.0268013544938545","0.0186283529504275","0.0349743560372814","3"
"FDP","1985","16-34 y.","Rural Area","8","","","","3"
"FDP","1985","35-65 y.","Urban Area","99","0.0430553441821578","0.0351785444244115","0.0509321439399041","3"
"FDP","1985","66 and older","Urban Area","27","","","","3"
"FDP","1985","66 and older","Rural Area","9","","","","3"
"FDP","1985","35-65 y.","Rural Area","17","","","","3"
"NPD","1985","16-34 y.","Urban Area","","","","","6"
"NPD","1985","16-34 y.","Rural Area","","","","","6"
"NPD","1985","35-65 y.","Rural Area","","","","","6"
"NPD","1985","66 and older","Urban Area","","","","","6"
"NPD","1985","66 and older","Rural Area","","","","","6"
"NPD","1985","35-65 y.","Urban Area","","","","","6"
"Other","1985","16-34 y.","Urban Area","10","","","","8"
"Other","1985","16-34 y.","Rural Area","3","","","","8"
"Other","1985","35-65 y.","Urban Area","14","","","","8"
"Other","1985","35-65 y.","Rural Area","5","","","","8"
"Other","1985","66 and older","Urban Area","4","","","","8"
"Other","1985","66 and older","Rural Area","","","","","8"
"PDS/Linke","1985","16-34 y.","Urban Area","","","","","5"
"PDS/Linke","1985","16-34 y.","Rural Area","","","","","5"
"PDS/Linke","1985","35-65 y.","Rural Area","","","","","5"
"PDS/Linke","1985","35-65 y.","Urban Area","","","","","5"
"PDS/Linke","1985","66 and older","Urban Area","","","","","5"
"PDS/Linke","1985","66 and older","Rural Area","","","","","5"
"SPD","1985","16-34 y.","Rural Area","154","0.3942320869963","0.343539658152996","0.444924515839603","1"
"SPD","1985","35-65 y.","Rural Area","289","0.398532060731499","0.361867990259182","0.435196131203816","1"
"SPD","1985","16-34 y.","Urban Area","771","0.468810732778481","0.443556982591244","0.494064482965718","1"
"SPD","1985","35-65 y.","Urban Area","1322","0.479333538947927","0.459947388795093","0.498719689100761","1"
"SPD","1985","66 and older","Urban Area","213","0.420614583545964","0.377896146813003","0.463333020278925","1"
"SPD","1985","66 and older","Rural Area","59","0.355544404876258","0.283375824515206","0.42771298523731","1"
"AfD","1986","16-34 y.","Urban Area","","","","","7"
"AfD","1986","16-34 y.","Rural Area","","","","","7"
"AfD","1986","35-65 y.","Urban Area","","","","","7"
"AfD","1986","35-65 y.","Rural Area","","","","","7"
"AfD","1986","66 and older","Urban Area","","","","","7"
"AfD","1986","66 and older","Rural Area","","","","","7"
"CDU/CSU","1986","35-65 y.","Urban Area","1005","0.445767812097624","0.426085991265503","0.465449632929746","2"
"CDU/CSU","1986","16-34 y.","Urban Area","402","0.31485741873721","0.290665856810622","0.339048980663798","2"
"CDU/CSU","1986","35-65 y.","Rural Area","342","0.54896771167228","0.510684976424817","0.587250446919743","2"
"CDU/CSU","1986","16-34 y.","Rural Area","142","0.433602173060353","0.381683858773093","0.485520487347614","2"
"CDU/CSU","1986","66 and older","Rural Area","78","0.525198421071687","0.444197595316974","0.6061992468264","2"
"CDU/CSU","1986","66 and older","Urban Area","235","0.508862365479241","0.463569798232952","0.55415493272553","2"
"FDP","1986","16-34 y.","Urban Area","27","","","","3"
"FDP","1986","16-34 y.","Rural Area","11","","","","3"
"FDP","1986","35-65 y.","Urban Area","84","0.0379738928564236","0.0304055458145755","0.0455422398982718","3"
"FDP","1986","66 and older","Urban Area","29","","","","3"
"FDP","1986","66 and older","Rural Area","8","","","","3"
"FDP","1986","35-65 y.","Rural Area","11","","","","3"
"NPD","1986","16-34 y.","Rural Area","","","","","6"
"NPD","1986","66 and older","Urban Area","","","","","6"
"NPD","1986","35-65 y.","Rural Area","","","","","6"
"NPD","1986","16-34 y.","Urban Area","","","","","6"
"NPD","1986","35-65 y.","Urban Area","","","","","6"
"NPD","1986","66 and older","Rural Area","","","","","6"
"Other","1986","16-34 y.","Urban Area","8","","","","8"
"Other","1986","16-34 y.","Rural Area","","","","","8"
"Other","1986","35-65 y.","Urban Area","14","","","","8"
"Other","1986","35-65 y.","Rural Area","4","","","","8"
"Other","1986","66 and older","Urban Area","2","","","","8"
"Other","1986","66 and older","Rural Area","1","","","","8"
"PDS/Linke","1986","16-34 y.","Urban Area","","","","","5"
"PDS/Linke","1986","16-34 y.","Rural Area","","","","","5"
"PDS/Linke","1986","35-65 y.","Urban Area","","","","","5"
"PDS/Linke","1986","35-65 y.","Rural Area","","","","","5"
"PDS/Linke","1986","66 and older","Urban Area","","","","","5"
"PDS/Linke","1986","66 and older","Rural Area","","","","","5"
"SPD","1986","16-34 y.","Rural Area","157","0.424001789594585","0.372228175687215","0.475775403501954","1"
"SPD","1986","16-34 y.","Urban Area","733","0.479568015738597","0.453547041110025","0.505588990367168","1"
"SPD","1986","35-65 y.","Rural Area","276","0.408153102493112","0.370340028779068","0.445966176207156","1"
"SPD","1986","35-65 y.","Urban Area","1268","0.4784879442539","0.458707651042208","0.498268237465593","1"
"SPD","1986","66 and older","Urban Area","200","0.428636797115067","0.383800883501401","0.473472710728732","1"
"SPD","1986","66 and older","Rural Area","57","0.37925490025157","0.30055142429316","0.457958376209981","1"
"AfD","1987","16-34 y.","Urban Area","","","","","7"
"AfD","1987","16-34 y.","Rural Area","","","","","7"
"AfD","1987","35-65 y.","Urban Area","","","","","7"
"AfD","1987","35-65 y.","Rural Area","","","","","7"
"AfD","1987","66 and older","Urban Area","","","","","7"
"AfD","1987","66 and older","Rural Area","","","","","7"
"CDU/CSU","1987","35-65 y.","Rural Area","345","0.540208776760936","0.502639234870459","0.577778318651412","2"
"CDU/CSU","1987","66 and older","Urban Area","267","0.490472582751922","0.447952707937353","0.532992457566491","2"
"CDU/CSU","1987","35-65 y.","Urban Area","1040","0.444956668868718","0.42558050607501","0.464332831662425","2"
"CDU/CSU","1987","16-34 y.","Rural Area","180","0.500622798446166","0.451189284478441","0.550056312413891","2"
"CDU/CSU","1987","16-34 y.","Urban Area","491","0.356581874518085","0.332612224738806","0.380551524297364","2"
"CDU/CSU","1987","66 and older","Rural Area","96","0.580057119840977","0.504055810218369","0.656058429463585","2"
"FDP","1987","16-34 y.","Urban Area","46","0.0355581445601915","0.0262910630752583","0.0448252260451246","3"
"FDP","1987","66 and older","Urban Area","35","0.068352077812907","0.0468884760960414","0.0898156795297726","3"
"FDP","1987","66 and older","Rural Area","10","","","","3"
"FDP","1987","16-34 y.","Rural Area","17","","","","3"
"FDP","1987","35-65 y.","Rural Area","29","","","","3"
"FDP","1987","35-65 y.","Urban Area","141","0.0611717759279842","0.0518281792571187","0.0705153725988497","3"
"NPD","1987","16-34 y.","Urban Area","","","","","6"
"NPD","1987","16-34 y.","Rural Area","","","","","6"
"NPD","1987","35-65 y.","Rural Area","","","","","6"
"NPD","1987","35-65 y.","Urban Area","","","","","6"
"NPD","1987","66 and older","Urban Area","","","","","6"
"NPD","1987","66 and older","Rural Area","","","","","6"
"Other","1987","16-34 y.","Urban Area","12","","","","8"
"Other","1987","16-34 y.","Rural Area","1","","","","8"
"Other","1987","35-65 y.","Urban Area","11","","","","8"
"Other","1987","35-65 y.","Rural Area","7","","","","8"
"Other","1987","66 and older","Urban Area","4","","","","8"
"Other","1987","66 and older","Rural Area","2","","","","8"
"PDS/Linke","1987","66 and older","Rural Area","","","","","5"
"PDS/Linke","1987","35-65 y.","Urban Area","","","","","5"
"PDS/Linke","1987","16-34 y.","Urban Area","","","","","5"
"PDS/Linke","1987","16-34 y.","Rural Area","","","","","5"
"PDS/Linke","1987","35-65 y.","Rural Area","","","","","5"
"PDS/Linke","1987","66 and older","Urban Area","","","","","5"
"SPD","1987","16-34 y.","Urban Area","703","0.41088238904591","0.386261984899117","0.435502793192703","1"
"SPD","1987","16-34 y.","Rural Area","147","0.342226518898993","0.295318528684037","0.389134509113948","1"
"SPD","1987","35-65 y.","Rural Area","273","0.382433543359832","0.345798679558743","0.41906840716092","1"
"SPD","1987","35-65 y.","Urban Area","1220","0.449116805490114","0.429723363963452","0.468510247016776","1"
"SPD","1987","66 and older","Urban Area","222","0.425342969906274","0.383292115724723","0.467393824087826","1"
"SPD","1987","66 and older","Rural Area","53","0.329226320006881","0.256861770270341","0.401590869743422","1"
"AfD","1988","16-34 y.","Urban Area","","","","","7"
"AfD","1988","16-34 y.","Rural Area","","","","","7"
"AfD","1988","35-65 y.","Rural Area","","","","","7"
"AfD","1988","35-65 y.","Urban Area","","","","","7"
"AfD","1988","66 and older","Urban Area","","","","","7"
"AfD","1988","66 and older","Rural Area","","","","","7"
"CDU/CSU","1988","66 and older","Urban Area","255","0.492369502694994","0.449191365513336","0.535547639876652","2"
"CDU/CSU","1988","66 and older","Rural Area","78","0.508727004412326","0.426789277019981","0.590664731804671","2"
"CDU/CSU","1988","35-65 y.","Urban Area","877","0.415929078413671","0.395693372326842","0.436164784500499","2"
"CDU/CSU","1988","35-65 y.","Rural Area","287","0.498927000876125","0.45911804533531","0.538735956416939","2"
"CDU/CSU","1988","16-34 y.","Urban Area","381","0.306510759563313","0.282043595637126","0.330977923489499","2"
"CDU/CSU","1988","16-34 y.","Rural Area","136","0.444894786102305","0.389395289483492","0.500394282721118","2"
"FDP","1988","66 and older","Rural Area","8","","","","3"
"FDP","1988","66 and older","Urban Area","29","","","","3"
"FDP","1988","16-34 y.","Rural Area","10","","","","3"
"FDP","1988","16-34 y.","Urban Area","42","0.0362756450416552","0.0263530585100929","0.0461982315732175","3"
"FDP","1988","35-65 y.","Urban Area","100","0.04718282976432","0.0384777509448969","0.055887908583743","3"
"FDP","1988","35-65 y.","Rural Area","25","","","","3"
"NPD","1988","16-34 y.","Urban Area","","","","","6"
"NPD","1988","16-34 y.","Rural Area","","","","","6"
"NPD","1988","35-65 y.","Rural Area","","","","","6"
"NPD","1988","35-65 y.","Urban Area","","","","","6"
"NPD","1988","66 and older","Urban Area","","","","","6"
"NPD","1988","66 and older","Rural Area","","","","","6"
"Other","1988","16-34 y.","Urban Area","10","","","","8"
"Other","1988","16-34 y.","Rural Area","7","","","","8"
"Other","1988","35-65 y.","Urban Area","20","","","","8"
"Other","1988","35-65 y.","Rural Area","3","","","","8"
"Other","1988","66 and older","Urban Area","6","","","","8"
"Other","1988","66 and older","Rural Area","2","","","","8"
"PDS/Linke","1988","35-65 y.","Urban Area","","","","","5"
"PDS/Linke","1988","35-65 y.","Rural Area","","","","","5"
"PDS/Linke","1988","66 and older","Urban Area","","","","","5"
"PDS/Linke","1988","66 and older","Rural Area","","","","","5"
"PDS/Linke","1988","16-34 y.","Urban Area","","","","","5"
"PDS/Linke","1988","16-34 y.","Rural Area","","","","","5"
"SPD","1988","35-65 y.","Urban Area","1194","0.490779738857053","0.470255262834052","0.511304214880055","1"
"SPD","1988","16-34 y.","Urban Area","721","0.47845784412295","0.451947982894273","0.504967705351627","1"
"SPD","1988","16-34 y.","Rural Area","130","0.423074986675432","0.367900145476999","0.478249827873865","1"
"SPD","1988","66 and older","Urban Area","224","0.438962783689431","0.396102586709417","0.481822980669446","1"
"SPD","1988","35-65 y.","Rural Area","277","0.440690604510004","0.401162614411396","0.480218594608613","1"
"SPD","1988","66 and older","Rural Area","54","0.395831539122182","0.31567955179519","0.475983526449174","1"
"AfD","1989","16-34 y.","Urban Area","","","","","7"
